feature,median_original,median_cf,median_healthy,frac_moved_closer,median_abs_dist_original,median_abs_dist_cf,median_improvement
Anaerococcus vaginalis [1498],-0.6432106478306889,-0.64321065,-0.6432106478306889,0.3,0.0,0.09683665716931106,-0.09683665716931106
Coprococcus comes [1616],1.2446295437179882,-0.67979735,0.1440328017933366,0.6,1.3289818504582287,1.44895625,-0.11997439954177125
Streptococcus cristatus [1396],0.26998144939469537,-1.5503454,-0.19210465493114315,0.4,1.2028161444955767,1.358240745068857,-0.15542460057328022
Streptococcus anginosus [1394],-0.5614729234652579,-1.5738089,0.351170407855527,0.5,1.764548873772191,1.9249793078555268,-0.1604304340833358
Lactococcus lactis [1369],-1.9658336869720707,-0.9564628500000001,0.4072427431916734,0.5,2.3730764301637444,2.5483451431916735,-0.17526871302792912
Faecalibacterium prausnitzii [1576],-0.15449217102189747,0.6064861565,0.4030732202247006,0.7,0.736557921933541,0.9142699847752995,-0.17771206284175856
Odoribacter splanchnicus [1115],0.8450068563160973,1.29020245,0.9161860776902897,0.5,0.569686049245482,0.7566132723097103,-0.18692722306422827
Parasutterella excrementihominis [468],1.433274578148653,1.8835655,0.4469606825777688,0.5,1.8482441802526202,2.043723317422231,-0.19547913716961096
Bifidobacterium catenulatum-Bifidobacterium pseudocatenulatum complex [973],-0.849000151907545,0.4966835,-0.9199637574763904,0.5,1.6261424721670386,1.8305496574763906,-0.2044071853093521
Olsenella uli [816],-0.6399761250366331,-0.2029159,-0.7888387775741712,0.3,0.4986590272832316,0.715642,-0.21698297271676842
Gemella sanguinis [1301],0.3056159563083306,-2.3297287,-1.115363234026466,0.4,1.5954358282247427,1.825826565973534,-0.23039073774879126
unnamed Streptococcus sp. C150 [1378],0.0865951611600044,-2.8090553,-0.5537729966963962,0.3,2.0170209067117333,2.255282303303604,-0.2382613965918705
Streptococcus pneumoniae [1400],0.010660504161737146,-0.188288,0.41875757349669795,0.3,0.7710586113630145,1.0169830000000002,-0.24592438863698574
Bilophila wadsworthia [756],0.028491122600628666,1.692152,0.8933104279345563,0.5,1.1670033030075526,1.4134445720654438,-0.2464412690578912
Eubacterium rectale [1630],1.013316425170773,0.6218396574,-0.22564714900981647,0.6,2.693840531682109,2.9838857030098165,-0.2900451713277077
Streptococcus vestibularis [1376],0.25790261690137906,-2.2921240000000003,-0.25662003031522745,0.3,1.7385091964228563,2.0355039696847728,-0.2969947732619165
Escherichia coli [390],-1.5725937993303918,-2.22856415,1.1658062132848845,0.4,3.0965782534480186,3.3943703632848843,-0.29779210983686566
Parabacteroides merdae [1089],1.0429486450634617,0.9336425,1.1931892016810735,0.5,0.8657875650754847,1.1750574999999999,-0.30926993492451516
Eubacterium siraeum [1564],-1.6683614705370984,1.0303791,1.0597644628304215,0.4,2.7281259333675196,3.0458848871695787,-0.3177589538020591
[Clostridium] bartlettii [1533],-0.320215058078684,-1.91994505,-0.14453933693293625,0.6,2.4113143613084205,2.7323824500000002,-0.32106808869157977
Streptococcus mitis [1402],0.13151861457785038,-0.3021122,-0.2009113856308427,0.5,0.8355598491304727,1.1720133856308428,-0.33645353650037013
Bacteroides eggerthii [1097],-1.4995433265302234,0.05108820000000003,-0.5258339080033629,0.4,2.823444304863338,3.164126291996637,-0.3406819871332991
unnamed Streptococcus sp. M143 [1407],-0.8249976206306723,0.4039541,-0.7255516811429302,0.2,0.7474021928442466,1.1295057811429303,-0.38210358829868374
Streptococcus mitis [1414],-0.29589679040475525,-1.3996141,0.14911694253082008,0.5,1.1476130167130365,1.54873104253082,-0.40111802581778355
Bacteroides fragilis [1090],0.7988924074953022,-0.3033613,1.9173895671501757,0.4,2.7953022766654887,3.2022903328498247,-0.406988056184336
Streptococcus mitis [1408],-1.077730436870468,-1.0777304,-0.7581607109326363,0.6,0.31956972593783184,0.7332961890673637,-0.4137264631295319
Streptococcus mitis [1403],-0.05522688451926907,-1.7940364,0.1079259861733824,0.4,1.4817223822858026,1.9019623861733823,-0.42024000388757976
Dorea formicigenerans [1604],-0.12268015844583227,-0.313989,0.42874225178374803,0.5,1.0876235537998413,1.5114580517837481,-0.4238344979839068
Clostridium leptum [1573],-0.1717884587040183,-0.2487832,-0.2654825894914878,0.4,0.5659211391273363,1.0350500894914878,-0.4691289503641515
Prevotella dentalis [1067],-0.2913483417897359,0.1859421,-0.2913483417897359,0.3,0.0,0.4772904417897359,-0.4772904417897359
Streptococcus infantis [1416],0.02290278699958213,-1.7883285,0.21607085275753396,0.5,1.512979389298683,2.004399352757534,-0.4914199634588512
Streptococcus constellatus [1395],-0.6037720864600273,-1.3353407,0.21857358847751318,0.5,1.7573144013383921,2.263390788477513,-0.5060763871391207
Bacteroides fluxus [1101],0.21498075943437012,-0.615086,-0.011984150783984392,0.4,1.5670991155470393,2.1154611507839842,-0.5483620352369449
Streptococcus thermophilus [1375],1.4638187879350084,-3.3434095,-0.38896140478787433,0.4,2.403248092777991,2.9544480952121255,-0.5512000024341344
